attack,startStamp,endStamp,startTime,endTime,attackerMAC,attackerIP,description
ddos,1761331001.160904,1761331064.611052,2025-10-24 13:36:41.160904,2025-10-24 13:37:44.611052,06:06:2f:b9:a2:9a,192.168.0.42,ddos
ddos,1761331153.342806,1761331217.744848,2025-10-24 13:39:13.342806,2025-10-24 13:40:17.744848,06:06:2f:b9:a2:9a,192.168.0.42,ddos
port-scan,1761331373.186637,1761331377.088969,2025-10-24 13:42:53.186637,2025-10-24 13:42:57.088969,06:06:2f:b9:a2:9a,192.168.0.42,scan-nmap
mitm,1761331577.994007,1761331612.65898,2025-10-24 13:46:17.994007,2025-10-24 13:46:52.658980,06:06:2f:b9:a2:9a,192.168.0.42,mitm-scapy
